step,F(A)[mm3],A1[mm2],A2[mm2],sigma1[N/mm2],sigma2[N/mm2],U2[mm]
0,12000000.0,3000.0,3000.0,200.0,66.6666666667,2.60162601626
1,6950014.01874,2475.00700937,1000.0,242.423555864,200.0,4.31632737428
2,6751596.80024,2550.79773685,825.00066327,235.220531731,242.424047524,4.65994711468
3,6806909.6231,2553.18922954,850.265582005,235.000207998,235.2206231,4.5875203034
4,6808509.13787,2553.1914881,851.063080841,235.000000117,235.000206803,4.58536787239
5,6808510.63962,2553.19148996,851.063829847,234.999999945,234.999999984,4.58536585296
6,6808510.6223,2553.19148157,851.063829578,235.000000717,235.000000058,4.58536586122
7,6808510.19366,2553.19127374,851.063823093,235.000019847,235.000001849,4.58536606532
